IdEvaluacion;FechaEvaluacion;IdJugador;IdPosicion;PesoBrutoKg;TallaCorporalCm;TallaSentadoCM;DiametroBiacromial;DiametroToraxTransverso;DiametroToraxAnteroPosterior;DiametroBi-iliocrestideo;DiametroHumeralBiepicondilar;DiametroFemoralBiepicondilar;PerimetroCabeza;PerimetroBrazoRelajado;PerimetroBrazoFlexionadoEnTension;PerimetroAntebrazoMaximo;PerimetroToraxMesoesternal;PerimetroCinturaMinima;PerimetroCaderaMaximo;PerimetroMusloMaximo;PerimetroMusloMedial;PerimetroPantorrillaMaxima;PlieguesTriceps;PlieguesSubescapular;PlieguesSupraespinal;PlieguesAbdominal;PlieguesMusloMedial;PlieguesPantorrilla;Bicipital;Supracrestideo;Sumatoria 6 pliegues;Sumatoria 8 pliegues;MasaPielKg;MasaPielPer;MasaAdiposaKg;MasaAdiposaPer;MasaMuscularKg;MasaMuscularPer;MasaResidualKg;MasaResidualPer;MasaOseaKg;MasaOseaPer;IMO;IAM;ObjetivoGeneral;ObjetivoEspecifico;Comentarios;;
26;13/09/2023;299;1;90.0;187.3;97.3;44.3;31.8;20.7;30.7;7.3;10.5;56.6;34.5;38.3;30.6;105.8;86.6;103.2;61.8;59.9;36;10.2;10.2;8.8;16.6;7.2;4.2;;;57.2;;4.42;0.048;19.68;0.212;47.26;0.508;10.92;0.117;10.75;0.116;4.40;0.42;;;;;
27;18/10/2023;299;1;88.0;187.3;97.3;44.3;31.8;20.7;30.7;7.3;10.5;56.6;34.1;38.3;30.6;106.2;84.4;101.4;60.9;58.8;35.9;9.2;10;9.2;15.8;7.4;4.4;;;56;;4.42;0.048;19.44;0.211;46.90;0.510;10.52;0.114;10.75;0.117;4.36;0.41;Disminuir Masa Adiposa;1000;Se debe disminuir la masa adiposa del jugador. Obj Final: -3 Kg;;
28;17/03/2023;310;1;77.9;181;96.2;41.4;29.6;21.9;30.2;7.3;10.3;56.5;31.5;34.3;27.6;95.3;78.4;98.6;60.5;59.7;38.9;7.6;5.8;5.6;8;9.2;3.4;;;39.6;;4.06;0.052;14.78;0.187;40.70;0.516;9.55;0.121;9.79;0.124;4.16;0.36;;;;;
29;28/04/2023;310;1;80.6;181;96.2;41.4;29.6;21.9;30.2;7.3;10.3;56.5;31.7;34.5;28.4;96.4;80.3;100.6;60.4;60.8;39.2;7;6.8;6.4;8.8;9;3.2;;;41.2;;4.06;0.051;15.09;0.187;41.72;0.518;9.88;0.123;9.79;0.122;4.26;0.36;;;;;
30;20/06/2023;310;1;80.7;181;96.2;41.4;29.6;21.9;30.2;7.3;10.3;56.5;32.6;35.4;28.6;98.4;80.8;100.8;60.6;59.6;39.4;7.8;6.2;8;8.8;10;3.2;;;44;;4.06;0.049;15.62;0.189;43.11;0.522;9.99;0.121;9.79;0.119;4.40;0.36;;;;;
31;26/07/2023;310;1;80.7;181;96.2;41.4;29.6;21.9;30.2;7.3;10.3;56.5;32.5;35.8;28.7;99.1;80.9;101.4;61.3;60.3;39.3;6.4;6;7.8;10.2;10.2;3.4;;;44;;4.06;0.049;15.62;0.188;43.86;0.527;9.92;0.119;9.79;0.118;4.48;0.36;;;;;
32;16/08/2023;310;1;79.5;181;96.2;41.4;29.6;21.9;30.2;7.3;10.3;56.5;32.2;35.6;28.4;99.4;79.3;101.5;61.3;60.9;39.4;6.6;5.8;7.4;9.2;10;3;;;42;;4.06;0.049;15.24;0.184;43.85;0.531;9.66;0.117;9.79;0.119;4.48;0.35;;;;;
33;28/09/2023;310;1;78.0;181;96.2;41.4;29.6;21.9;30.2;7.3;10.3;56.5;31.6;35.4;28.6;100.8;79.4;98.2;59.4;59.8;39.4;7;5.4;6.2;6.4;8.4;3.2;;;36.6;;4.06;0.050;14.21;0.174;43.65;0.535;9.86;0.121;9.79;0.120;4.46;0.33;;;;;
34;19/10/2023;310;1;76.5;181;96.2;41.4;29.6;21.9;30.2;7.3;10.3;56.5;31.6;34.9;28.3;97.4;79.3;97.9;59.1;58.8;39.3;6.2;5.4;5.4;5.8;7.6;3;;;33.4;;4.06;0.051;13.60;0.171;42.08;0.530;9.87;0.124;9.79;0.123;4.30;0.32;Mantener Composición Corporal;0;El jugador mantiene una buena composición.;;
35;17/03/2023;300;18;75.1;178;93.7;41.3;28.5;20.9;26.4;7.5;10.4;56.2;31;32.8;27.4;95.4;73.9;98.2;57.7;57.6;37.8;8.2;9.4;9.2;12.2;9.4;5.4;;;53.8;;3.98;0.053;16.79;0.223;37.66;0.500;7.95;0.106;8.91;0.118;4.23;0.45;;;;;
36;17/05/2023;300;18;76.2;178;93.7;41.3;28.5;20.9;26.4;7.5;10.4;56.2;31.2;33.8;27.6;96.7;74.4;97.6;57.9;57.3;38.4;7;8.8;8.4;10.4;10;5.4;;;50;;3.98;0.052;16.09;0.212;38.90;0.512;8.15;0.107;8.91;0.117;4.37;0.41;;;;;
37;12/06/2023;300;18;75.5;178;93.7;41.3;28.5;20.9;26.4;7.5;10.4;56.2;30.8;33.8;27.6;96.7;75.8;98.4;57.4;55.6;38.3;8.4;8.6;8.2;12.4;11;5.6;;;54.2;;3.98;0.052;16.87;0.221;38.15;0.501;8.30;0.109;8.91;0.117;4.28;0.44;;;;;
38;10/07/2023;300;18;77.7;178;93.7;41.3;28.5;20.9;26.4;7.5;10.4;56.2;31.2;33.7;27.8;97.6;76.3;98.3;57.8;56.8;38.4;7.8;8.2;9.2;13;10.6;5.6;;;54.4;;3.98;0.052;16.90;0.219;39.19;0.507;8.36;0.108;8.91;0.115;4.40;0.43;;;;;
