IdInscripcion;IdJugador;Tipo;Fecha;IdCT;IdEquipo;IdPosicion;;;;;;;;;;;;;
84;43;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
85;56;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
86;54;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
87;37;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
88;32;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
89;51;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
90;34;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
91;53;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
92;31;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
93;35;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
94;37;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
95;59;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
96;79;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
97;75;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
98;82;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
99;74;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
100;57;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
101;68;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
102;58;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
103;77;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
104;40;Habilitado;6/08/2023;5;1;1;;;;;;;;;;;;;
105;52;Habilitado;6/08/2023;5;1;1;;;;;;;;;;;;;
106;55;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
107;33;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
108;36;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
109;38;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
110;41;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
111;44;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
112;46;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
113;49;Habilitado;6/08/2023;5;1;3;;;;;;;;;;;;;
114;57;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
115;39;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
116;43;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
117;47;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
118;48;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
119;50;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
120;53;Habilitado;6/08/2023;5;1;11;;;;;;;;;;;;;
121;54;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
122;58;Habilitado;6/08/2023;5;1;12;;;;;;;;;;;;;
123;281;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
124;31;Habilitado;6/08/2023;5;1;13;;;;;;;;;;;;;
125;32;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
126;35;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
127;37;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
128;51;Habilitado;6/08/2023;5;1; ;;;;;;;;;;;;;
129;69;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
130;82;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
131;71;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
132;65;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
133;79;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
134;63;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
135;77;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
136;70;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
137;68;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
138;60;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
139;62;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
140;76;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
141;73;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
142;78;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
143;64;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
144;67;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
145;81;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
146;83;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
147;59;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
148;80;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
149;74;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
150;75;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
151;56;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
152;61;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
153;66;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
154;72;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
155;85;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
156;107;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
157;92;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
158;84;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
159;95;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
160;86;Habilitado;25/02/2023;6;1; ;;;;;;;;;;;;;
161;69;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
162;82;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
163;71;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
164;65;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
165;79;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
166;63;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
167;77;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
168;70;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
169;68;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
170;60;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
171;62;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
172;76;Deshabilitado;3/06/2023;6;1; ;;;;;;;;;;;;;
