IdEstadisticaPartido;IdJugador;IdPartido;IdCT;Condicion;Minutos;Goles;Amarillas;Rojas;;;;;;;;;;;;;;;;
180;273;2;1;No citado;;;;;;;;;;;;;;;;;;;;
181;317;2;1;Titular;90;;;;;;;;;;;;;;;;;;;
182;318;2;1;Citado sin vestir;;;;;;;;;;;;;;;;;;;;
183;278;2;1;Titular;84;;;;;;;;;;;;;;;;;;;
184;279;2;1;No citado;;;;;;;;;;;;;;;;;;;;
185;277;2;1;No citado;;;;;;;;;;;;;;;;;;;;
186;320;2;1;Titular;90;;;;;;;;;;;;;;;;;;;
187;275;2;1;No citado;;;;;;;;;;;;;;;;;;;;
188;321;2;1;Titular;65;1;;;;;;;;;;;;;;;;;;
189;21;2;1;No citado;;;;;;;;;;;;;;;;;;;;
190;5;2;1;No citado;;;;;;;;;;;;;;;;;;;;
191;276;2;1;No citado;;;;;;;;;;;;;;;;;;;;
192;323;2;1;No citado;;;;;;;;;;;;;;;;;;;;
193;299;3;1;Titular;90;;;;;;;;;;;;;;;;;;;
194;300;3;1;No citado;;;;;;;;;;;;;;;;;;;;
195;301;3;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
196;302;3;1;Titular;90;;1;;;;;;;;;;;;;;;;;
197;303;3;1;Titular;90;;;;;;;;;;;;;;;;;;;
198;304;3;1;Suplente ingresa;18;;;;;;;;;;;;;;;;;;;
199;305;3;1;Suplente ingresa;30;;;;;;;;;;;;;;;;;;;
200;307;3;1;Titular;90;;;;;;;;;;;;;;;;;;;
201;308;3;1;No citado;;;;;;;;;;;;;;;;;;;;
202;309;3;1;Suplente ingresa;30;;;;;;;;;;;;;;;;;;;
203;274;3;1;No citado;;;;;;;;;;;;;;;;;;;;
204;310;3;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
205;280;3;1;No citado;;;;;;;;;;;;;;;;;;;;
206;311;3;1;No citado;;;;;;;;;;;;;;;;;;;;
207;312;3;1;Suplente ingresa;18;;;;;;;;;;;;;;;;;;;
208;313;3;1;Titular;90;;;;;;;;;;;;;;;;;;;
209;314;3;1;No citado;;;;;;;;;;;;;;;;;;;;
210;315;3;1;Titular;72;;;;;;;;;;;;;;;;;;;
211;316;3;1;No citado;;;;;;;;;;;;;;;;;;;;
212;273;3;1;No citado;;;;;;;;;;;;;;;;;;;;
213;317;3;1;Titular;90;;;;;;;;;;;;;;;;;;;
214;318;3;1;No citado;;;;;;;;;;;;;;;;;;;;
215;278;3;1;Titular;60;;;;;;;;;;;;;;;;;;;
216;279;3;1;No citado;;;;;;;;;;;;;;;;;;;;
217;277;3;1;No citado;;;;;;;;;;;;;;;;;;;;
218;320;3;1;Titular;90;;;;;;;;;;;;;;;;;;;
219;275;3;1;No citado;;;;;;;;;;;;;;;;;;;;
220;321;3;1;Titular;60;;;;;;;;;;;;;;;;;;;
221;21;3;1;No citado;;;;;;;;;;;;;;;;;;;;
222;5;3;1;No citado;;;;;;;;;;;;;;;;;;;;
223;276;3;1;No citado;;;;;;;;;;;;;;;;;;;;
224;323;3;1;No citado;;;;;;;;;;;;;;;;;;;;
225;299;4;1;Titular;90;;1;;;;;;;;;;;;;;;;;
226;300;4;1;No citado;;;;;;;;;;;;;;;;;;;;
227;301;4;1;No citado;;;;;;;;;;;;;;;;;;;;
228;302;4;1;Titular;90;;;;;;;;;;;;;;;;;;;
229;303;4;1;Titular;90;;;;;;;;;;;;;;;;;;;
230;304;4;1;Titular;45;;1;;;;;;;;;;;;;;;;;
231;305;4;1;Suplente ingresa;15;;;;;;;;;;;;;;;;;;;
232;307;4;1;Titular;75;;;;;;;;;;;;;;;;;;;
233;308;4;1;No citado;;;;;;;;;;;;;;;;;;;;
234;309;4;1;Titular;75;;;;;;;;;;;;;;;;;;;
235;274;4;1;No citado;;;;;;;;;;;;;;;;;;;;
236;310;4;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
237;280;4;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
238;311;4;1;No citado;;;;;;;;;;;;;;;;;;;;
239;312;4;1;Suplente ingresa;22;;;;;;;;;;;;;;;;;;;
240;313;4;1;Titular;90;;;;;;;;;;;;;;;;;;;
241;314;4;1;No citado;;;;;;;;;;;;;;;;;;;;
242;315;4;1;Suplente ingresa;45;;;;;;;;;;;;;;;;;;;
