IdPartido;IdCompeticionTemporada;Jornada;IdEquipoLocal;IdEquipoVisita;FechaPartido;NombreEvento;GolesLocal;GolesVisita;IsLocal;IsWon;;;;;;;;;;;;;;
63;3;11;1;4;15/10/2023;Temp. 2023 - CLAUSURA - Jornada: 11 - Cat. SUB-20 - Universidad de Chile vs Audax Italiano;6;1;1;1;;;;;;;;;;;;;;
64;3;12;1;2;29/10/2023;Temp. 2023 - CLAUSURA - Jornada: 12 - Cat. SUB-20 - Universidad de Chile vs Curicó Unido;0;0;1;0;;;;;;;;;;;;;;
65;3;13;14;1;5/11/2023;Temp. 2023 - CLAUSURA - Jornada: 13 - Cat. SUB-20 - Cobresal vs Universidad de Chile;2;4;0;1;;;;;;;;;;;;;;
66;3;14;1;6;12/11/2023;Temp. 2023 - CLAUSURA - Jornada: 14 - Cat. SUB-20 - Universidad de Chile vs Coquimbo Unido;3;1;1;1;;;;;;;;;;;;;;
67;3;15;1;18;19/11/2023;Temp. 2023 - CLAUSURA - Jornada: 15 - Cat. SUB-20 - Universidad de Chile vs Santiago Wanderers;1;3;1;0;;;;;;;;;;;;;;
68;4;1;1;5;25/02/2023;Temp. 2023 - APERTURA - Jornada: 1 - Cat. SUB-17 - Universidad de Chile vs Everton;3;2;1;1;;;;;;;;;;;;;;
69;4;2;8;1;1/03/2023;Temp. 2023 - APERTURA - Jornada: 2 - Cat. SUB-17 - Huachipato vs Universidad de Chile;1;0;0;0;;;;;;;;;;;;;;
70;4;3;1;10;5/03/2023;Temp. 2023 - APERTURA - Jornada: 3 - Cat. SUB-17 - Universidad de Chile vs Magallanes;4;3;1;1;;;;;;;;;;;;;;
71;4;4;27;1;11/03/2023;Temp. 2023 - APERTURA - Jornada: 4 - Cat. SUB-17 - O'Higgins vs Universidad de Chile;3;1;0;0;;;;;;;;;;;;;;
72;4;5;1;25;18/03/2023;Temp. 2023 - APERTURA - Jornada: 5 - Cat. SUB-17 - Universidad de Chile vs Palestino;3;1;1;1;;;;;;;;;;;;;;
73;4;6;13;1;24/03/2023;Temp. 2023 - APERTURA - Jornada: 6 - Cat. SUB-17 - Universidad Católica vs Universidad de Chile;0;5;0;1;;;;;;;;;;;;;;
74;4;7;1;35;1/04/2023;Temp. 2023 - APERTURA - Jornada: 7 - Cat. SUB-17 - Universidad de Chile vs Universidad de Concepción;1;0;1;1;;;;;;;;;;;;;;
75;4;8;9;1;15/04/2023;Temp. 2023 - APERTURA - Jornada: 8 - Cat. SUB-17 - Unión Española vs Universidad de Chile;2;0;0;0;;;;;;;;;;;;;;
76;4;9;1;3;22/04/2023;Temp. 2023 - APERTURA - Jornada: 9 - Cat. SUB-17 - Universidad de Chile vs Colo-Colo;1;3;1;0;;;;;;;;;;;;;;
77;4;10;1;20;3/05/2023;Temp. 2023 - APERTURA - Jornada: 10 - Cat. SUB-17 - Universidad de Chile vs Deportes Temuco;1;2;1;0;;;;;;;;;;;;;;
78;4;11;4;1;5/05/2023;Temp. 2023 - APERTURA - Jornada: 11 - Cat. SUB-17 - Audax Italiano vs Universidad de Chile;2;1;0;0;;;;;;;;;;;;;;
79;4;12;2;1;12/05/2023;Temp. 2023 - APERTURA - Jornada: 12 - Cat. SUB-17 - Curicó Unido vs Universidad de Chile;1;0;0;0;;;;;;;;;;;;;;
80;4;13;1;14;19/05/2023;Temp. 2023 - APERTURA - Jornada: 13 - Cat. SUB-17 - Universidad de Chile vs Cobresal;2;1;1;1;;;;;;;;;;;;;;
81;4;14;6;1;26/05/2023;Temp. 2023 - APERTURA - Jornada: 14 - Cat. SUB-17 - Coquimbo Unido vs Universidad de Chile;2;4;0;1;;;;;;;;;;;;;;
82;4;15;18;1;3/06/2023;Temp. 2023 - APERTURA - Jornada: 15 - Cat. SUB-17 - Santiago Wanderers vs Universidad de Chile;0;2;0;1;;;;;;;;;;;;;;
83;4;CUARTOS DE FINAL;1;4;7/06/2023;Temp. 2023 - APERTURA - Jornada: CUARTOS DE FINAL - Cat. SUB-17 - Universidad de Chile vs Audax Italiano;1;0;1;1;;;;;;;;;;;;;;
